bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.034,160.114,0.000,Tue Aug 18 19:21:52 BST 2015,off,1861.733,http://localhost:7788/openrdf-workbench/repositories/BSBMRegex/query?limit=0,667.3880,0.0000,8,1041.747,154.695,1,80,0.009777899489512895,9175932,30.195,12809.109,http://localhost:7788/openrdf-workbench/repositories/BSBMRegex/query?limit=0,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,16,0.027047,0.019689,1.156,64,0.180000,5,0.007000,0,254.381,0,0.014
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,5.882234,0.037991,5.453,64,125.267000,10,0.010000,0,1.170,0,2.939
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.030984,0.022997,9.094,64,0.260000,10,0.008000,0,222.054,0,0.015
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.032016,0.020103,1.063,64,0.498000,4,0.011000,0,214.902,0,0.016
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.094766,0.065874,0.000,64,0.681000,0,0.013000,0,72.602,0,0.047
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,45.963590,0.200211,8.361,61,322.710000,10,0.008000,0,0.150,4,21.889
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.018781,0.015672,0.938,64,0.130000,10,0.009000,0,366.334,0,0.009
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.020172,0.016573,0.953,64,0.124000,10,0.007000,0,341.079,0,0.010
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.018406,0.014809,0.000,64,0.120000,0,0.007000,0,373.797,0,0.009
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.033797,0.022638,0.000,64,0.362000,0,0.012000,0,203.575,0,0.017
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,4.504438,0.064913,1.172,64,186.606000,10,0.009000,0,1.527,0,2.251
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.026641,0.018962,1.188,64,0.329000,3,0.010000,0,258.260,0,0.013
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,0.118156,0.022116,1.656,64,5.525000,10,0.008000,0,58.230,0,0.059
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,0.031047,0.021227,0.047,64,0.246000,1,0.012000,0,221.607,0,0.016
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,0.022125,0.018962,0.000,64,0.137000,0,0.013000,0,310.970,0,0.011
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,0.035297,0.022279,1.422,64,0.314000,10,0.009000,0,194.924,0,0.018
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,0.019469,0.014782,0.000,64,0.149000,0,0.008000,0,353.397,0,0.010
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,0.049719,0.043462,2.391,64,0.222000,10,0.022000,0,138.383,0,0.025
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,0.036406,0.019756,2.688,64,0.411000,10,0.007000,0,188.984,0,0.018
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,0.020906,0.015395,1.375,64,0.113000,10,0.007000,0,329.098,0,0.010
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,140.233859,15.228915,4.734,64,307.466000,10,0.007000,0,0.049,0,70.067
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,0.041953,0.024851,4.766,64,0.314000,10,0.007000,0,163.997,0,0.021
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,0.127875,0.070602,2.453,64,1.334000,10,0.023000,0,53.804,0,0.064
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,0.023656,0.015867,5.906,64,0.320000,10,0.008000,0,290.841,0,0.012
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,4.883531,0.020648,9.828,64,311.113000,10,0.009000,0,1.409,0,2.440
