bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.109,2.460,0.000,Tue Aug 18 12:36:14 BST 2015,off,11.768,http://localhost:8890/sparql,9.2650,0.0000,64,323.261,78310.958,1,256,0.009777899489512895,4187411,9571.459,629.845,http://localhost:8890/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,128,0.246508,0.100214,1.148,128,2.161000,10,0.021000,0,217.112,0,5.010
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.238477,0.091029,0.000,128,1.647000,0,0.004000,0,224.423,0,4.846
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.230406,0.081266,8.672,128,1.836000,10,0.003000,0,232.284,0,4.682
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.187891,0.086992,1.062,128,1.905000,4,0.004000,0,284.845,0,3.818
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.187172,0.088480,8.922,128,1.823000,10,0.009000,0,285.939,0,3.804
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0.275422,0.133651,7.977,128,1.681000,10,0.004000,0,194.319,0,5.597
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.159391,0.098672,1.281,128,1.569000,10,0.012000,0,335.777,0,3.239
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.203008,0.114638,1.695,128,2.360000,10,0.002000,0,263.634,0,4.126
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.237391,0.105090,0.000,128,2.465000,0,0.003000,0,225.450,0,4.824
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.207250,0.162660,0.047,128,1.423000,6,0.057000,0,258.237,0,4.212
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,0.191328,0.117290,1.547,128,2.471000,10,0.002000,0,279.727,1,3.888
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.171672,0.103804,0.906,128,2.237000,3,0.003000,0,311.756,0,3.489
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,0.188969,0.107936,1.352,128,2.425000,10,0.005000,0,283.220,0,3.840
