bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.000,36.556,0.000,Tue Aug 18 16:37:40 BST 2015,off,2182.930,http://localhost:3030/BSBM/sparql,450.3950,0.0000,64,Infinity,422.185,1,256,0.009777899489512895,4187411,48.392,9358.244,http://localhost:3030/BSBM/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,128,0.166563,0.000000,0.969,128,0.377000,10,0.000000,0,25.738,0,0.228
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,5.416548,0.114937,0.000,124,263.168000,0,0.001000,0,0.791,6,7.177
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.127023,0.068003,8.664,128,0.774000,10,0.001000,0,33.750,0,0.174
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.075070,0.030842,1.102,128,0.301000,4,0.001000,0,57.107,0,0.103
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,4.523523,2.842443,0.000,128,14.080000,0,0.098000,0,0.948,0,6.187
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,4.749342,0.148324,8.081,111,185.700000,10,0.001000,0,0.903,33,5.633
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.143672,0.040666,1.211,128,1.588000,10,0.001000,0,29.839,0,0.197
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.070055,0.000000,1.268,127,1.091000,10,0.000000,0,61.195,1,0.095
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.018273,0.000000,0.000,128,0.191000,0,0.000000,0,234.603,0,0.025
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,22.986703,0.023550,0.031,128,335.180000,2,0.001000,0,0.186,0,31.441
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,15.771032,0.000000,2.032,95,197.338000,10,0.000000,0,0.272,48,16.010
