bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.327,7.095,0.000,Thu Aug 20 13:45:19 BST 2015,off,41.516,http://localhost:5555/openrdf-workbench/repositories/BSBMRegex/query?limit=0,30.3600,0.0000,64,107.594,22198.893,1,256,0.009777899489512895,4187411,2713.232,1816.292,http://localhost:5555/openrdf-workbench/repositories/BSBMRegex/query?limit=0,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,128,0.862898,0.264266,1.047,128,4.311000,5,0.011000,0,50.701,0,6.081
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1.771898,0.792502,8.867,128,6.476000,193,0.037000,0,24.691,0,12.487
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,1.025867,0.796058,8.898,128,4.533000,10,0.194000,0,42.646,0,7.230
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.646242,0.541146,1.125,128,2.524000,4,0.068000,0,67.699,0,4.554
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,1.373594,1.148532,0.023,128,18.703000,3,0.219000,0,31.850,0,9.680
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0.796453,0.630363,7.078,128,4.348000,10,0.010000,0,54.931,0,5.613
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.417453,0.321852,0.789,128,2.533000,10,0.038000,0,104.801,0,2.942
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.286453,0.242026,1.070,128,0.885000,7,0.007000,0,152.729,0,2.019
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.258781,0.216993,0.008,128,0.900000,1,0.006000,0,169.060,0,1.824
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.222914,0.186272,0.016,128,0.829000,2,0.011000,0,196.262,0,1.571
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,0.278758,0.218492,1.414,128,2.771000,10,0.005000,0,156.945,0,1.964
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.308086,0.263689,1.008,128,1.794000,6,0.046000,0,142.005,0,2.171
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,0.422953,0.223781,1.648,128,19.890000,10,0.007000,0,103.439,0,2.981
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,0.374500,0.220693,0.375,128,6.398000,10,0.009000,0,116.821,0,2.639
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,0.245578,0.197963,0.156,128,1.799000,10,0.008000,0,178.150,0,1.731
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,0.261578,0.195856,1.117,128,2.190000,10,0.008000,0,167.253,0,1.843
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,0.241797,0.170212,0.000,128,1.882000,0,0.005000,0,180.936,0,1.704
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,0.421641,0.335526,2.086,128,2.144000,10,0.020000,0,103.761,0,2.971
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,0.383781,0.269516,1.984,128,2.256000,10,0.006000,0,113.996,0,2.705
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,0.372586,0.261772,0.656,128,2.727000,10,0.005000,0,117.422,0,2.626
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,0.562195,0.403920,5.469,128,2.148000,10,0.006000,0,77.819,0,3.962
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,0.635477,0.435843,5.656,128,3.467000,10,0.008000,0,68.845,0,4.478
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,0.692437,0.424420,2.586,128,3.434000,10,0.010000,0,63.182,0,4.880
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,0.401750,0.224303,6.539,128,2.232000,10,0.006000,0,108.898,0,2.831
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,0.924109,0.482731,9.922,128,3.136000,10,0.008000,0,47.342,0,6.512
