bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.044,66.555,0.000,Tue Aug 18 18:49:02 BST 2015,off,795.639,http://localhost:7788/openrdf-workbench/repositories/BSBMRegex/query?limit=0,253.1760,0.0000,4,791.273,180.987,1,40,0.009777899489512895,8188326,35.349,2662.211,http://localhost:7788/openrdf-workbench/repositories/BSBMRegex/query?limit=0,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,8,0.032531,0.028252,1.094,32,0.113000,5,0.013000,0,102.855,0,0.039
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.561781,0.032488,5.906,32,17.022000,10,0.012000,0,5.956,0,0.675
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.043750,0.035497,8.688,32,0.120000,10,0.011000,0,76.480,0,0.053
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.027281,0.024117,1.188,32,0.079000,4,0.014000,1,122.648,0,0.033
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.108563,0.092215,0.000,32,0.314000,0,0.034000,0,30.821,0,0.130
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,15.629548,0.174746,8.645,31,169.097000,10,0.015000,0,0.214,1,18.200
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.031375,0.026895,1.031,32,0.093000,10,0.012000,0,106.645,0,0.038
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.026344,0.022515,1.344,32,0.108000,10,0.010000,0,127.013,0,0.032
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.025500,0.021973,0.000,32,0.102000,0,0.011000,0,131.216,0,0.031
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.035781,0.031629,0.000,32,0.121000,0,0.017000,0,93.513,0,0.043
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,2.364750,0.076353,1.625,32,31.398000,10,0.012000,0,1.415,0,2.842
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.030375,0.027173,0.719,32,0.079000,4,0.011000,0,110.156,0,0.037
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,0.038563,0.032564,1.219,32,0.119000,10,0.010000,0,86.768,0,0.046
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,0.037469,0.031628,0.406,32,0.145000,10,0.016000,0,89.301,0,0.045
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,0.029594,0.027519,0.000,32,0.082000,0,0.015000,0,113.064,0,0.036
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,0.700063,0.043740,1.313,32,20.960000,10,0.015000,0,4.780,0,0.841
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,0.026219,0.023769,0.000,32,0.060000,0,0.011000,0,127.619,0,0.032
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,0.057156,0.049643,2.563,32,0.149000,8,0.021000,1,58.541,0,0.069
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,0.041750,0.033247,1.750,32,0.164000,10,0.009000,0,80.144,0,0.050
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,0.041313,0.026019,1.406,32,0.293000,10,0.009000,0,80.992,0,0.050
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,63.557688,6.042497,5.250,32,170.436000,10,0.009000,0,0.053,0,76.397
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,0.037094,0.028128,5.656,32,0.136000,10,0.010000,0,90.204,0,0.045
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,0.122500,0.095009,2.688,32,0.408000,10,0.019000,0,27.314,0,0.147
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,0.045719,0.028168,6.188,32,0.192000,10,0.011000,0,73.187,0,0.055
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,0.029813,0.025228,10.000,32,0.162000,10,0.014000,10,112.235,0,0.036
