bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.000,68.328,0.000,Tue Aug 18 15:13:49 BST 2015,off,1253.504,http://localhost:3030/BSBM/sparql,494.8800,0.0000,4,Infinity,114.878,1,40,0.009777899489512895,8188326,22.297,2733.139,http://localhost:3030/BSBM/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,8,0.014938,0.003950,1.125,32,0.199000,5,0.001000,0,145.968,0,0.017
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.063387,0.007450,0.000,31,1.729000,0,0.002000,0,34.398,1,0.072
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.014719,0.005953,9.063,32,0.229000,10,0.001000,0,148.137,0,0.017
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.005125,0.003182,1.125,32,0.029000,4,0.001000,0,425.444,0,0.006
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.129625,0.076418,0.000,32,0.845000,0,0.007000,0,16.821,0,0.152
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,25.482207,0.065431,8.828,29,335.430000,10,0.001000,3,0.086,3,27.038
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.008344,0.004000,1.125,32,0.106000,10,0.001000,0,261.321,0,0.010
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.004406,0.000000,0.750,32,0.042000,4,0.000000,0,494.842,0,0.005
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.002281,0.000000,0.000,32,0.008000,0,0.000000,0,955.791,0,0.003
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,1.007063,0.011273,0.000,32,15.658000,0,0.002000,0,2.165,0,1.179
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,30.715031,0.295061,1.781,32,141.891000,10,0.002000,0,0.071,0,35.962
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.008969,0.005952,1.250,32,0.043000,5,0.001000,0,243.111,0,0.011
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,0.012156,0.003502,1.156,32,0.233000,10,0.001000,0,179.364,0,0.014
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,0.011344,0.004937,0.219,32,0.158000,4,0.002000,0,192.211,0,0.013
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,29.947719,18.827417,0.313,32,93.009000,10,0.033000,0,0.073,0,35.063
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,0.230187,0.007913,1.750,32,3.375000,10,0.002000,0,9.472,0,0.270
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,0.002531,0.001788,0.000,32,0.008000,0,0.001000,0,861.392,0,0.003
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,0.015000,0.010498,1.800,30,0.085000,8,0.004000,1,145.360,2,0.016
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,0.011844,0.005219,1.156,32,0.071000,10,0.001000,0,184.097,0,0.014
