bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.014,2.043,0.000,Tue Aug 18 12:06:26 BST 2015,off,21.560,http://localhost:8890/sparql,7.2100,0.0000,4,2456.281,6679.130,1,40,0.009777899489512895,8188326,1304.525,81.728,http://localhost:8890/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,8,0.033188,0.007211,1.438,32,0.258000,5,0.001000,0,114.223,0,1.299
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.347688,0.015170,0.000,32,4.218000,0,0.001000,0,10.903,0,13.613
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.201469,0.019224,9.094,32,1.632000,10,0.002000,0,18.816,0,7.888
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.004031,0.002540,1.125,32,0.034000,4,0.001000,0,940.348,0,0.158
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.186719,0.022411,8.938,32,1.866000,10,0.003000,1,20.302,0,7.311
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0.184344,0.030733,6.938,32,2.008000,10,0.002000,0,20.564,0,7.218
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.009188,0.008894,0.250,32,0.015000,3,0.006000,0,412.602,0,0.360
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.033875,0.006534,0.813,32,0.218000,5,0.001000,0,111.905,0,1.326
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.002500,0.001832,0.000,32,0.013000,0,0.001000,0,1516.311,0,0.098
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.053375,0.049963,0.000,32,0.117000,0,0.011000,0,71.022,0,2.090
