bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.051,6.475,0.000,Thu Aug 20 13:38:08 BST 2015,off,106.666,http://localhost:5555/openrdf-workbench/repositories/BSBMRegex/query?limit=0,58.1250,0.0000,4,695.107,1350.014,1,40,0.009777899489512895,8188326,264.006,259.019,http://localhost:5555/openrdf-workbench/repositories/BSBMRegex/query?limit=0,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,8,0.053469,0.039445,1.281,32,0.145000,5,0.009000,0,45.416,0,0.661
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.071156,0.041390,6.063,32,0.397000,10,0.009000,0,34.127,0,0.879
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.253469,0.190440,9.469,32,0.544000,10,0.008000,0,9.580,0,3.131
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.055844,0.041201,1.125,32,0.183000,4,0.009000,0,43.484,0,0.690
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,1.051969,0.711937,0.000,32,7.639000,0,0.106000,0,2.308,0,12.996
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0.341500,0.137248,6.656,32,1.885000,10,0.009000,0,7.111,0,4.219
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.032656,0.020325,0.844,32,0.144000,10,0.008000,0,74.360,0,0.403
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,1.794000,0.032228,1.531,32,56.307000,10,0.008000,0,1.354,0,22.164
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.151000,0.017546,0.000,32,3.247000,0,0.007000,0,16.082,0,1.866
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.040875,0.023987,0.125,32,0.434000,4,0.014000,0,59.409,0,0.505
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,2.075031,0.042349,1.250,32,37.516000,10,0.007000,0,1.170,0,25.636
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.080844,0.054551,1.000,32,0.234000,6,0.010000,0,30.037,0,0.999
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,0.147219,0.038247,1.781,32,2.709000,10,0.008000,0,16.495,0,1.819
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,0.299781,0.038936,0.344,32,6.259000,10,0.011000,0,8.100,0,3.704
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,0.078719,0.024822,0.313,32,0.941000,10,0.011000,0,30.848,0,0.973
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,0.086062,0.028625,2.688,32,0.873000,10,0.011000,0,28.216,0,1.063
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,0.011719,0.009821,0.000,32,0.055000,0,0.007000,0,207.217,0,0.145
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,0.198344,0.155751,2.188,32,0.777000,8,0.039000,1,12.243,0,2.450
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,0.043563,0.029296,1.781,32,0.178000,10,0.008000,0,55.744,0,0.538
